Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dist_km,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,year_median,W_price_year,WR,WR01,WQI,threshold,is_good_wine,label
Château de Lavagnac,Bordeaux 2015,2015,3.6,76,766,3.5,bordeaux,4.1,cabernet-sauvignon,44.8394884711832,-0.5397329917271372,6.226498595072154,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.9309764309764309,3.8903550832631373,0.7780710166526275,0.7243657781294662,0.5099874062209927,1,1
Château de Brandey,Bordeaux Rouge 2015,2015,3.6,333,1705,3.4,bordeaux,4.9,cabernet-sauvignon,44.8394884711832,-0.5397329917271372,6.226498595072154,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.9186046511627907,3.744038894246223,0.7488077788492447,0.6878583084777945,0.5099874062209927,1,1
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2015,2015,3.7,225,1497,3.5,blaye-cotes-de-bordeaux,6.0,cabernet-sauvignon,45.13333000000003,-0.66667,12.807928861305482,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.9021207177814029,3.838706059864611,0.7677412119729222,0.6925952532153767,0.5130695611049225,1,1
Yvon Mau,Best Bordeaux Quality 2015,2015,3.1,136,162,3.1,bordeaux,7.5,cabernet-sauvignon,44.8394884711832,-0.5397329917271372,6.226498595072154,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.8805732484076433,3.6174435657047086,0.7234887131409418,0.6370848063167847,0.5099874062209927,1,1
Château Cap l'Ousteau,Haut-Médoc 2015,2015,3.7,412,3566,3.6,haut-medoc,8.98,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.8602986932171748,3.794668652063793,0.7589337304127586,0.6529096965125318,0.5130695611049225,1,1
Domaine Le Nouveau Monde,Tradición 2015,2015,3.8,174,174,3.8,languedoc,9.75,shiraz-syrah,43.60057601202888,3.88270435561468,7.137451575692915,34,34154001,1,2178.8,24.853225806451608,30.049999999999997,10.233870967741936,6.0,3.0,86.69999999999999,94.9,0.0,14.27,55.3,0.8501152959262106,3.908432581383401,0.7816865162766802,0.6645236641060787,0.5504848490291702,1,1
Château Peyrou,Colombe de Peyrou Castillon - Côtes de Bordeaux 2015,2015,3.5,228,228,3.5,cotes-de-castillon,10.5,cabernet-sauvignon,44.849999999999945,-0.0333299999999999,14.321596286117341,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.8404255319148937,3.7250860149767258,0.7450172029953451,0.6261314791131093,0.5040143909780761,1,1
Château Gaston Rena,Haut Médoc 2015,2015,3.5,67,175,3.6,haut-medoc,10.5,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.8404255319148937,3.873605885514647,0.7747211771029294,0.651095457352462,0.5130695611049225,1,1
Vignobles Chaigne et Fils,Château Peynaud Bordeaux Supérieur 2015,2015,3.9,115,398,3.7,bordeaux-superieur,10.66,cabernet-sauvignon,44.837559984680006,-0.4981958329616381,8.141433008192857,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.8383869011522135,3.9697254659779926,0.7939450931955985,0.6656331663692632,0.5099874062209927,1,1
Château Hostens-Picant,Cuvée Valentine 2015,2015,3.7,357,358,3.7,bordeaux,10.7,cabernet-sauvignon,44.8394884711832,-0.5397329917271372,6.226498595072154,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.8378787878787879,3.804419168662123,0.7608838337324246,0.6375284243242891,0.5099874062209927,1,1
