Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,dist_km
Château de Lavagnac,Bordeaux 2015,2015.0,3.6,76,766,3.5,bordeaux,4.1,cabernet-sauvignon,44.83779,-0.57918,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,5.317701561530501
Château de Callac,Graves Rouge 2011,2011.0,3.6,221,3008,3.7,graves,4.5,cabernet-sauvignon,44.6,-0.4,33,33504001,65,1854.45,20.153225806451616,26.35645161290323,11.30161290322581,2.0,5.0,55.5,94.5,0.0,15.75,8.479655258174086
Château Gravelier,Bordeaux Rouge 2022,2022.0,3.4,621,621,3.4,bordeaux,4.9,cabernet-sauvignon,44.83779,-0.57918,33,33063001,10,2421.0999999999995,25.029032258064518,32.291935483870965,13.583870967741936,17.0,1.0,110.8,82.39999999999999,0.0,13.3,1.5177606121134102
Château de Brandey,Bordeaux Rouge 2015,2015.0,3.6,333,1705,3.4,bordeaux,4.9,cabernet-sauvignon,44.83779,-0.57918,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,5.317701561530501
Les Hauts de Palette,Château Haut-Mondain Bordeaux Rouge 2016,2016.0,3.4,258,1919,3.6,bordeaux,4.9,cabernet-sauvignon,44.83779,-0.57918,33,33550001,25,1779.4,22.0983870967742,28.667741935483875,12.424193548387095,8.0,0.0,74.5,81.5,0.0,11.876666666666665,5.317701561530501
Lafleur Chevalier,Bordeaux 2020,2020.0,3.3,92,92,3.3,bordeaux,5.0,cabernet-sauvignon,44.83779,-0.57918,33,33063001,10,2091.3999999999996,23.14677419354839,29.612903225806456,11.746774193548386,7.0,2.0,51.2,209.49999999999997,0.0,15.95,1.5177606121134102
Les Vignerons des Albères,Malicieuse Syrah 2022,2022.0,3.5,51,52,3.5,cotes-catalanes,5.05,shiraz-syrah,42.625,2.5,66,66074002,321,2158.1,24.672580645161286,32.37096774193549,16.077419354838707,11.0,1.0,10.6,33.400000000000006,3.0,12.336666666666666,4.428144082308414
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2017,2017.0,3.8,81,1497,3.5,blaye-cotes-de-bordeaux,5.1,cabernet-sauvignon,45.13333,-0.66667,33,33314005,26,1764.3500000000004,20.830508474576266,26.333870967741934,10.258064516129034,1.0,0.0,111.1,96.4,0.0,12.76333333333333,12.807928861307474
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2019,2019.0,3.5,1497,1497,3.5,blaye-cotes-de-bordeaux,5.1,cabernet-sauvignon,45.13333,-0.66667,33,33314005,26,1771.1,21.91774193548387,28.141935483870963,11.70967741935484,2.0,3.0,95.2,172.40000000000003,0.0,12.379999999999999,12.807928861307474
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2018,2018.0,3.5,131,1497,3.5,blaye-cotes-de-bordeaux,5.2,cabernet-sauvignon,45.13333,-0.66667,33,33314005,26,1906.8000000000002,22.34516129032258,28.512903225806454,11.679032258064517,5.0,5.0,41.4,66.7,0.0,13.886666666666667,12.807928861307474
