Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude
Château de Lavagnac,Bordeaux 2015,2015.0,3.6,76,766,3.5,bordeaux,4.1,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château de Callac,Graves Rouge 2011,2011.0,3.6,221,3008,3.7,graves,4.5,cabernet-sauvignon,44.59999999999995,-0.3999999999999995
Château Gravelier,Bordeaux Rouge 2022,2022.0,3.4,621,621,3.4,bordeaux,4.9,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château de Brandey,Bordeaux Rouge 2015,2015.0,3.6,333,1705,3.4,bordeaux,4.9,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Les Hauts de Palette,Château Haut-Mondain Bordeaux Rouge 2016,2016.0,3.4,258,1919,3.6,bordeaux,4.9,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Lafleur Chevalier,Bordeaux 2020,2020.0,3.3,92,92,3.3,bordeaux,5.0,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Les Vignerons des Albères,Malicieuse Syrah 2022,2022.0,3.5,51,52,3.5,cotes-catalanes,5.05,shiraz-syrah,42.625,2.5
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2017,2017.0,3.8,81,1497,3.5,blaye-cotes-de-bordeaux,5.1,cabernet-sauvignon,45.13333000000003,-0.66667
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2019,2019.0,3.5,1497,1497,3.5,blaye-cotes-de-bordeaux,5.1,cabernet-sauvignon,45.13333000000003,-0.66667
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2018,2018.0,3.5,131,1497,3.5,blaye-cotes-de-bordeaux,5.2,cabernet-sauvignon,45.13333000000003,-0.66667
Château Reindent,Bordeaux Supérieur 2016,2016.0,3.7,78,203,3.7,bordeaux-superieur,5.27,cabernet-sauvignon,44.837559984680006,-0.4981958329616381
Arnaud de Villeneuve,To Bi or Not To Bi Merlot - Grenache 2022,2022.0,3.3,83,83,3.3,languedoc,5.4,shiraz-syrah,43.60057601202888,3.88270435561468
Marquille,Bordeaux Rouge 2014,2014.0,2.7,109,109,2.7,bordeaux,5.4,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2021,2021.0,3.5,1497,1497,3.5,blaye-cotes-de-bordeaux,5.4,cabernet-sauvignon,45.13333000000003,-0.66667
Les Notables de Maucaillou,Le B de Maucaillou 2021,2021.0,3.6,42,7164,3.6,bordeaux-superieur,5.8,cabernet-sauvignon,44.837559984680006,-0.4981958329616381
Château Montesquieu des Albères,Côtes du Roussillon Rouge 2023,2023.0,3.6,38,38,3.6,cotes-du-roussillon,5.9,shiraz-syrah,42.688610000000054,2.894720000000005
Château de Callac,Graves Rouge 2014,2014.0,3.7,113,3008,3.7,graves,5.94,cabernet-sauvignon,44.59999999999995,-0.3999999999999995
Vinovalie,Les Blousons Noirs Malbec 2021,2021.0,3.7,604,604,3.7,cahors,6.0,malbec,44.44889000000001,1.4399999999999986
Pierrick Harang,Le Petit Balthazar Merlot 2021,2021.0,3.0,40,609,3.1,vin-de-pays-doc,6.0,shiraz-syrah,43.61193999999985,3.8772200000000017
Château des Graves,Bordeaux Supérieur 2018,2018.0,3.6,285,285,3.6,bordeaux-superieur,6.0,cabernet-sauvignon,44.837559984680006,-0.4981958329616381
Vignerons de Tautavel Vingrau,Le Cirque Rouge 2021,2021.0,3.6,43,6164,3.5,cotes-catalanes,6.0,shiraz-syrah,42.625,2.5
Vinovalie,Sans Culotte ni Sulfites Rouge 2022,2022.0,3.3,315,315,3.3,cahors,6.0,malbec,44.44889000000001,1.4399999999999986
Château d'Auzanet,Cuvée des Abeilles Bordeaux 2018,2018.0,3.3,32,413,3.8,bordeaux,6.0,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château du Juge,Bordeaux Rouge 2020,2020.0,3.5,141,141,3.5,bordeaux,6.0,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2015,2015.0,3.7,225,1497,3.5,blaye-cotes-de-bordeaux,6.0,cabernet-sauvignon,45.13333000000003,-0.66667
Abbe Rous,Malis Rouge 2022,2022.0,3.5,142,142,3.5,cotes-du-roussillon,6.05,shiraz-syrah,42.688610000000054,2.894720000000005
Raoul Mapoul,Rouge 2022,2022.0,3.7,127,127,3.7,vin-de-pays-doc,6.1,shiraz-syrah,43.61193999999985,3.8772200000000017
Le Chai des Vignerons,La Cuvée de Léon Corbières 2022,2022.0,3.7,71,71,3.7,corbieres,6.14,shiraz-syrah,43.08158032658233,2.6854789880195296
Château du Juge,Bordeaux Supérieur Rouge 2018,2018.0,3.3,82,82,3.3,bordeaux,6.3,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Cellier des Demoiselles,Pinot 2023,2023.0,3.7,44,99,3.7,vin-de-pays-doc,6.41,shiraz-syrah,43.61193999999985,3.8772200000000017
Les Jamelles,Les Petites Jamelles Rouge 2024,2024.0,3.5,1069,1069,3.5,vin-de-pays-doc,6.45,shiraz-syrah,43.61193999999985,3.8772200000000017
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2012,2012.0,3.7,284,1497,3.5,blaye-cotes-de-bordeaux,6.5,cabernet-sauvignon,45.13333000000003,-0.66667
Château Hauchat,Fronsac 2016,2016.0,3.7,209,1209,3.7,fronsac,6.5,cabernet-sauvignon,44.94528874639298,-0.2826621476031562
Maubrac Guérin,Château le Faure Bordeaux 2021,2021.0,3.4,1555,1555,3.4,bordeaux,6.5,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château du Juge,Bordeaux Supérieur Rouge 2016,2016.0,3.3,26,82,3.3,bordeaux,6.5,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château Galau,Côtes de Bourg 2018,2018.0,3.6,63,642,3.6,cotes-de-bourg,6.5,cabernet-sauvignon,45.049999999999976,-0.6333300000000005
Château Galau,Côtes de Bourg 2019,2019.0,3.6,642,642,3.6,cotes-de-bourg,6.5,cabernet-sauvignon,45.049999999999976,-0.6333300000000005
Château La Guillaumette,Bordeaux 2022,2022.0,3.5,448,448,3.5,bordeaux,6.5,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château Galau,Côtes de Bourg 2017,2017.0,3.6,39,642,3.6,cotes-de-bourg,6.5,cabernet-sauvignon,45.049999999999976,-0.6333300000000005
Semper,Squerda Côtes du Roussillon Villages 'Lesquerde' 2024,2024.0,3.8,339,339,3.8,cotes-du-roussillon-villages,6.5,shiraz-syrah,42.68672903204232,2.684292528036307
Blason Timberlay,Bordeaux Merlot - Cabernet Sauvignon 2020,2020.0,3.3,39,1207,3.5,bordeaux,6.6,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Maubrac Guérin,Chateau Palene Bordeaux 2020,2020.0,3.7,245,3395,3.6,bordeaux,6.72,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Marrenon,Les Meridiennes Rouge 2021,2021.0,3.1,44,44,3.1,cotes-du-rhone,6.75,shiraz-syrah,44.26497540596176,4.645266570551067
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rouge 2024,2024.0,3.4,1184,1184,3.4,gard,6.88,shiraz-syrah,43.83333000000002,4.416669999999998
