region_clean,n_wines,lat_mean,lon_mean
aloxe corton,29,47.0546,4.8647
aloxe corton clos du chapitre,3,47.0574,4.8635
aloxe corton la toppe au vert,2,47.0577,4.8614
aloxe corton les chaillots,6,47.05599999999999,4.864
aloxe corton les fournieres,4,47.0579,4.8629
aloxe corton les marechaudes,4,47.05587,4.86408
aloxe corton les moutottes,1,47.0724,4.8692
aloxe corton les petites lolieres,1,47.0565,4.8635
aloxe corton les valozieres,3,47.0581,4.862
aloxe corton premier cru,7,47.05700000000001,4.863
alsace,83,48.232880000000016,7.249900000000013
alsace grand cru,3,48.23288,7.2499
anjou,39,47.349999999999966,-0.5
anjou villages,3,47.41,-0.500537438345074
anjou villages brissac,1,47.16576,-0.33012
arbois,36,46.901699999999956,5.777199999999996
arbois pupillin,15,46.883199999999995,5.755399999999999
aude,7,43.08137,2.4454999999999996
auxey duresses,27,46.96904584281696,4.759924004832329
auxey duresses les duresses,1,46.9578,4.7635
auxey duresses les ecusseaux,2,46.957,4.765
auxey duresses premier cru,12,46.95735000000001,4.76283
bandol,35,43.1349,5.7380
beaujolais,34,46.09048691404974,4.6906599094210755
beaujolais lantignie,5,46.1406512057814,4.655626493878637
beaujolais nouveau,6,46.1,4.7
beaujolais villages,30,46.114685816938135,4.689871898228441
beaumes de venise,8,44.19377247699347,5.05187
beaune,18,47.02599999999998,4.841399999999999
beaune aux coucherias,8,47.0152,4.8398
beaune aux cras,1,47.024,4.842
beaune belissand,1,47.016,4.837
beaune clos des avaux,3,47.01587,4.84254
beaune clos des ursules,1,47.0234,4.843
beaune clos du roi,6,47.025,4.8389
beaune en genet,3,47.0263,4.8429
beaune le clos des mouches,4,47.041665,4.841333
beaune les aigrots,4,47.01743,4.83923
beaune les boucherottes,2,47.0142,4.8361
beaune les bressandes,6,47.02100000000001,4.844
beaune les cent vignes,12,47.0216,4.842300000000001
beaune les chouacheux,3,47.01692,4.84067
beaune les epenotes,9,47.0156,4.837600000000001
beaune les feves,2,47.0183,4.8397
beaune les greves,14,47.0258,4.844099999999999
beaune les montrevenots,2,47.0173,4.8366
beaune les reversees,2,47.0161,4.8389
beaune les teurons,8,47.0247,4.8435
