phh2o,ocd,clay,sand,silt,bdod,AOC
6.85,45.9,29.875,24.225,45.9,1.3025000000000002,Alsace grand cru Eichberg
6.6499999999999995,43.45,29.1,21.125,49.775,1.2750000000000001,Alsace grand cru Altenberg de Bergbieten
6.7,51.166666666666664,31.76666666666667,17.500000000000004,50.76666666666667,1.3166666666666667,Aloxe-Corton
6.733333333333333,44.333333333333336,21.233333333333334,46.5,32.266666666666666,1.1833333333333333,Ajaccio
6.733333333333333,50.900000000000006,29.53333333333333,26.233333333333334,44.23333333333333,1.29,Alsace grand cru Brand
6.55,47.4,28.85,18.25,52.9,1.315,Alsace grand cru Altenberg de Wolxheim
6.7,48.15,29.3,25.5,45.2,1.3,Alsace grand cru Altenberg de Bergheim
6.6,49.9,26.8,23.4,49.8,1.3,Alsace grand cru Bruderthal
6.6,49.55,32.05,17.35,50.6,1.29,Alsace grand cru Engelberg
6.75,42.8,27.25,23.05,49.7,1.28,Alsace grand cru Florimont
6.75,45.35,27.15,25.55,47.35,1.255,Alsace grand cru Froehn
6.6,49.35,24.3,26.25,49.45,1.19,Alsace grand cru Frankstein
6.8,47.0,30.8,26.1,43.0,1.28,Alsace grand cru Geisberg
,,,,,,Alsace grand cru Furstentum
6.7,47.875,29.549999999999997,25.0,45.47500000000001,1.2550000000000001,Alsace grand cru Goldert
6.45,51.45,28.0,26.5,45.5,1.245,Alsace grand cru Gloeckelberg
6.9,44.575,28.250000000000004,25.099999999999998,46.650000000000006,1.275,Alsace grand cru Hengst
6.6,49.3,28.4,25.9,45.6,1.29,Alsace grand cru Hatschbourg
7.1,47.7,27.2,26.9,45.8,1.31,Alsace grand cru Kanzlerberg
,,,,,,Alsace grand cru Kaefferkopf
6.4,52.1,27.3,28.5,44.1,1.26,Alsace grand cru Kastelberg
6.7,48.6,29.3,26.0,44.7,1.24,Alsace grand cru Kirchberg de Ribeauvillé
6.5,55.8,29.8,26.9,43.3,1.21,Alsace grand cru Kirchberg de Barr
6.7,53.9,25.8,28.3,45.9,1.21,Alsace grand cru Kessler
6.4,54.45,28.35,28.55,43.099999999999994,1.175,Alsace grand cru Kitterlé
6.7,48.800000000000004,25.533333333333335,25.53333333333333,48.93333333333334,1.2833333333333334,Alsace grand cru Mambourg
6.966666666666666,48.76666666666667,26.666666666666668,21.133333333333333,52.199999999999996,1.2866666666666668,Alsace grand cru Mandelberg
7.0,49.7,28.0,23.6,48.4,1.27,Alsace grand cru Marckrain
6.866666666666667,47.93333333333334,29.8,25.900000000000002,44.300000000000004,1.2766666666666666,Alsace grand cru Osterberg
6.4,49.04,27.920000000000005,23.52,48.55999999999999,1.2260000000000002,Alsace grand cru Muenchberg
6.6,46.975,31.375,22.625,46.0,1.315,Alsace grand cru Moenchberg
6.3,48.5,28.75,21.7,49.6,1.26,Alsace grand cru Ollwiller
6.85,44.45,29.65,24.700000000000003,45.7,1.315,Alsace grand cru Pfersigberg
6.2,50.675,30.375,28.525,41.1,1.2575,Alsace grand cru Pfingstberg
,,,,,,Alsace grand cru Praelatenberg
6.6,57.0,21.6,34.7,43.7,1.19,Alsace grand cru Rangen
,,,,,,Alsace grand cru Rosacker
6.6,46.9,29.9,26.2,43.9,1.22,Alsace grand cru Sommerberg
,,,,,,Alsace grand cru Saering
,,,,,,Alsace grand cru Schlossberg
,,,,,,Alsace grand cru Schoenenbourg
6.7,46.099999999999994,27.6,24.75,47.599999999999994,1.275,Alsace grand cru Sonnenglanz
6.5,51.05,26.95,29.25,43.8,1.19,Alsace grand cru Spiegel
6.4399999999999995,49.28000000000001,27.68,22.540000000000003,49.839999999999996,1.254,Alsace grand cru Steinklotz
6.666666666666667,49.199999999999996,28.066666666666663,23.233333333333334,48.666666666666664,1.2866666666666668,Alsace grand cru Steinert
6.766666666666667,46.53333333333333,29.366666666666664,24.399999999999995,46.26666666666667,1.2666666666666666,Alsace grand cru Sporen
6.7,46.666666666666664,29.900000000000002,22.7,47.43333333333334,1.2966666666666669,Alsace grand cru Vorbourg
6.5,49.55,29.200000000000003,23.15,47.65,1.2650000000000001,Alsace grand cru Wiebelsberg
,,,,,,Alsace ou Vin d'Alsace
6.466666666666666,48.70000000000001,29.766666666666666,27.0,43.23333333333333,1.2166666666666666,Alsace grand cru Wineck-Schlossberg
6.85,45.8,28.799999999999997,23.799999999999997,47.4,1.29,Alsace grand cru Steingrubler
,,,,,,Alsace grand cru Winzenberg
,,,,,,Anjou
6.6,51.2,32.9,28.0,39.1,1.25,Alsace grand cru Zinnkoepfle
,,,,,,Anjou Villages
,,,,,,Anjou-Coteaux de la Loire
,,,,,,Alsace grand cru Zotzenberg
6.1,51.9,20.1,34.9,45.0,1.25,Anjou Brissac
7.2,47.93333333333334,26.799999999999997,32.6,40.6,1.2766666666666666,Bandol
6.25,60.75,34.150000000000006,22.5,43.349999999999994,1.145,Arbois
7.233333333333333,46.63333333333333,27.0,34.46666666666667,38.56666666666666,1.2433333333333334,Banyuls
6.566666666666666,54.43333333333334,28.366666666666664,27.599999999999998,44.03333333333333,1.27,Auxey-Duresses
6.45,49.35,25.65,45.975,28.4,1.3175000000000001,Barsac
7.300000000000001,46.65,29.200000000000003,33.6,37.150000000000006,1.28,Banyuls grand cru
6.2250000000000005,50.525000000000006,25.200000000000003,34.449999999999996,40.35,1.2975,Beaujolais
